Datasheet,Image,DK Part #,Mfr Part #,Mfr,Supplier,Description,Stock,Price,@ qty,Min Qty, Package,Series,"Part Status","Type","Material - Core","Inductance","Tolerance","Current Rating (Amps)","Current - Saturation (Isat)","Shielding","DC Resistance (DCR)","Q @ Freq","Frequency - Self Resonant","Ratings","Operating Temperature","Inductance Frequency - Test","Features","Mounting Type","Package / Case","Supplier Device Package","Size / Dimension","Height - Seated (Max)"
"https://www.vishay.com/docs/34353/ihlp8787mz51.pdf","//media.digikey.com/Photos/Vishay%20Dale%20Photos/MFG_IHLP-8787MZ-51.jpg","541-IHLP8787MZER820M51TR-ND,541-IHLP8787MZER820M51CT-ND,541-IHLP8787MZER820M51DKR-ND","IHLP8787MZER820M51","Vishay Dale","Vishay Dale","FIXED IND 82UH 10.2A 34.2MOHM SM","200","12.21","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","IHLP-8787MZ-51","Active","Molded","-","82 µH","±20%","10.2 A","9A","Shielded","34.2mOhm Max","-","2.07MHz","-","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.885"" L x 0.866"" W (22.48mm x 22.00mm)","0.512"" (13.00mm)"
"https://productfinder.pulseeng.com/products/datasheets/P589.pdf","//media.digikey.com/Photos/Pulse%20Photos/PE-51508NL.jpg","PE-51513NL-ND","PE-51513NL","Pulse Electronics Power","Pulse Electronics Power","FIXED IND 144UH 10A 32 MOHM TH","148","13.48","0","1","Tray","-","Active","Toroidal","-","144 µH","-","10 A","-","Unshielded","32mOhm Max","-","-","-","-40°C ~ 130°C","50 kHz","-","Through Hole","Radial, Vertical, 4 Leads (Open)","-","2.300"" L x 1.110"" W (58.42mm x 28.19mm)","2.300"" (58.42mm)"
"https://productfinder.pulseelectronics.com/api/open/product-attachments/datasheet/pa4349.102anlt","//media.digikey.com/Renders/Pulse%20Renders/PA4349.JPG","553-PA4349.104ANLTTR-ND,553-PA4349.104ANLTCT-ND,553-PA4349.104ANLTDKR-ND","PA4349.104ANLT","Pulse Electronics Power","Pulse Electronics Power","FIXED IND 100UH 11A 40 MOHM SMD","147","7.53","0","1","Tape & Reel (TR),Cut Tape (CT),Digi-Reel®","PA4349.XXXANLT","Active","Molded","-","100 µH","±20%","11 A","9A","Shielded","40mOhm Max","-","-","AEC-Q200","-55°C ~ 155°C","100 kHz","-","Surface Mount","Nonstandard","-","0.925"" L x 0.866"" W (23.50mm x 22.00mm)","0.512"" (13.00mm)"
"-","//media.digikey.com/Photos/ITG-Electronics/MFG_SC2511-R10MHF.jpg","3013-SC2511-R47MHFTR-ND","SC2511-R47MHF","ITG Electronics, Inc.","ITG Electronics, Inc.","0.47UH, 20%, 2.6mOhm, 28A Max.","12,000","0.65","0","1500","Tape & Reel (TR)","SC2511","Active","-","-","4.7 H","-","28 A","-","-","2.6mOhm","-","-","-","-55°C ~ 150°C","-","-","Surface Mount","-","-","0.291"" L x 0.268"" W (7.40mm x 6.80mm)","0.118"" (3.00mm)"
"https://www.alliedcomponents.com/storage/through_hole_inductors_chokes/pdfs/rhc50-rc.pdf","//media.digikey.com/Photos/3475-Allied%20componets/MFG_RHC50.jpg","3475-RHC50-10-101K-RC-ND","RHC50-10-101K-RC","Allied Components International","Allied Components International","100UH 10% RADIAL HI.CURR. CHOKE","512","4.5","0","2","Box","-","Active","-","-","100 µH","±10%","10 A","6A","Unshielded","30mOhm Max","-","2.5MHz","-","-55°C ~ 105°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","Radial, Horizontal Cylinder","-","-"
"https://ctparts.com/product-spec/cthrf.pdf","//media.digikey.com/Photos/4161-Central-Technologies/MFG_CTHR10F-101K.jpg","4161-CTHR10F-500K-ND","CTHR10F-500K","Central Technologies","Central Technologies","50UH FILTER INDUCTOR","880","5.32","0","1","Bulk","CTHRF","Active","Wirewound","-","50 µH","±10%","11 A","10A","Unshielded","25mOhm Max","-","-","-","-55°C ~ 125°C","1 kHz","-","Through Hole","Radial, Horizontal Cylinder","Radial","0.935"" Dia (23.75mm)","1.375"" (34.93mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM1569-ND","195G10","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 5MH 10A 40 MOHM CHASS","13","69.23","0","1","Bulk","195","Active","-","-","5 mH","±15%","10 A","-","Unshielded","40mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","3.750"" L x 3.600"" W (95.25mm x 91.44mm)","3.130"" (79.50mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM4807-ND","195C30","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 1MH 30A 9MOHM CHAS MNT","22","86.57","0","1","Bulk","195","Active","-","-","1 mH","±15%","30 A","-","Unshielded","9mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","3.750"" L x 3.850"" W (95.25mm x 97.79mm)","3.130"" (79.50mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM2133-ND","195E50","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 2.5MH 50A 8 MOHM CHASS","17","277","0","1","Bulk","195","Active","-","-","2.5 mH","±15%","50 A","-","Unshielded","8mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","5.250"" L x 6.000"" W (133.35mm x 152.40mm)","4.470"" (113.54mm)"
"https://www.hammfg.com/electronics/transformers/choke/195-196.pdf","//media.digikey.com/Photos/Hammond%20Mfg%20Photos/MFG_195B150.jpg","HM4806-ND","195C100","Hammond Manufacturing","Hammond Manufacturing","FIXED IND 1MH 100A 3.6 MOHM CHAS","21","306.64","0","1","Bulk","195","Active","-","-","1 mH","±15%","100 A","-","Unshielded","3.6mOhm","-","-","-","-","-","-","Chassis Mount","Nonstandard","-","5.250"" L x 5.500"" W (133.35mm x 139.70mm)","4.470"" (113.54mm)"
