Manufacturer,Part Number,Voltage Rating (V),Current Rating (A),Coss (pF),"Rds,on (mOHms)",Qg (nC),Length (mm),Width (mm),Height (mm),Volume (mm^3),Price ($) ,Link,"FOM 1: (Coss*Rds,on*Volume"
EPC,EPC2034,200,48,450,7,8.8,3.6,2.6,0.79,7.39,6.3439,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2034_datasheet.pdf,3150
EPC,EPC2034C,200,48,641,6,11.4,4.6,2.6,0.79,9.45,5.6782,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2034C_datasheet.pdf,3846
EPC,EPC2215,200,32,390,6,13.6,4.6,1.6,0.638,4.70,4.5045,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2215_datasheet.pdf,2340
EPC,EPC2050,350,6.3,81,55,2.8,1.95,1.95,0.638,2.43,4.2471,https://epc-co.com/epc/Portals/0/epc/documents/datasheets/EPC2050_datasheet.pdf,4455
Infineon,IGOT60R070D1AUMA3,600,31,72,55,5.8,13.7,11,3.5,527.45,17.431,https://www.infineon.com/dgdl/Infineon-IGOT60R070D1-DataSheet-v02_13-EN.pdf?fileId=5546d46265f064ff016685fa65066523,3960
Infineon,IGT60R070D1ATMA4,600,31,72,55,5.8,11.675,9.9,2.3,265.84,21.9598,https://www.infineon.com/dgdl/Infineon-IGT60R070D1-DataSheet-v02_13-EN.pdf?fileId=5546d46265f064ff016686028dd56526,3960
Infineon,IGLD60R070D1AUMA3,600,15,72,55,5.8,8,8,1.35,86.40,21.9492,https://www.infineon.com/dgdl/Infineon-IGLD60R070D1-DataSheet-v02_12-EN.pdf?fileId=5546d46265f064ff016685f03f056511,3960
Transform,TP65H480G4JSG-TR,650,3.6,9,480,9,5,6,1,30.00,2.69,https://www.mouser.com/datasheet/2/970/datasheet_tp65h480g4jsg_20210323-1920428.pdf,4320
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Cambridge,CGD65A055S2,650,27,,55,,,,,,,need to get datasheets by email >:(,https://camgandevices.com/p/products/
Cambridge,CGD65A130S2,650,12,,130,,,,,,,need to get datasheets by email >:(,
Cambridge,CGD65B130S2,650,12,,130,,,,,,,need to get datasheets by email >:(,
Cambridge,CGD65B200S2,650,8.5,,200,,,,,,,need to get datasheets by email >:(,
